,id,name,city,state,rating,review_count,cost,latitude,longitude,has_delivery,has_pickup,url,icedog
11681,hooters-jacksonville-2,Hooters,Jacksonville,Florida,2.5,96,2,30.325397499999998,-81.6598587,False,False,https://www.yelp.com/biz/hooters-jacksonville-2?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
11763,cracker-barrel-old-country-store-jacksonville-2,Cracker Barrel Old Country Store,Jacksonville,Florida,3.5,36,1,30.331909999999997,-81.5515,False,False,https://www.yelp.com/biz/cracker-barrel-old-country-store-jacksonville-2?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
11812,hooters-jacksonville-6,Hooters,Jacksonville,Florida,3.0,33,2,30.216890000000003,-81.61771,False,False,https://www.yelp.com/biz/hooters-jacksonville-6?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
11831,zaxbys-chicken-fingers-and-buffalo-wings-jacksonville-3,Zaxby's Chicken Fingers & Buffalo Wings,Jacksonville,Florida,2.5,12,1,30.244215000000004,-81.59822,False,False,https://www.yelp.com/biz/zaxbys-chicken-fingers-and-buffalo-wings-jacksonville-3?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
11866,wendys-jacksonville-53,Wendy's,Jacksonville,Florida,2.0,7,3,30.2891732007265,-81.63157962262629,False,False,https://www.yelp.com/biz/wendys-jacksonville-53?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
11985,zaxbys-chicken-fingers-and-buffalo-wings-jacksonville-9,Zaxby's Chicken Fingers & Buffalo Wings,Jacksonville,Florida,3.5,31,1,30.482711791992198,-81.6553268432617,False,False,https://www.yelp.com/biz/zaxbys-chicken-fingers-and-buffalo-wings-jacksonville-9?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
11999,sonnys-bbq-jacksonville-6,Sonny's BBQ,Jacksonville,Florida,3.5,22,2,30.267692565918,-81.6166687011719,False,False,https://www.yelp.com/biz/sonnys-bbq-jacksonville-6?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
15407,chipotle-mexican-grill-fort-worth-9,Chipotle Mexican Grill,Fort Worth,Texas,3.5,8,1,32.7328125111339,-97.34313355189241,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-fort-worth-9?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
15432,taco-bell-fort-worth-34,Taco Bell,Fort Worth,Texas,4.0,6,1,32.73186,-97.37286,False,False,https://www.yelp.com/biz/taco-bell-fort-worth-34?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
15580,taco-bell-fort-worth-33,Taco Bell,Fort Worth,Texas,3.5,3,1,32.7059,-97.34714,False,False,https://www.yelp.com/biz/taco-bell-fort-worth-33?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
15627,chipotle-mexican-grill-fort-worth,Chipotle Mexican Grill,Fort Worth,Texas,3.0,43,1,32.7517,-97.36062,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-fort-worth?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
15635,cracker-barrel-old-country-store-fort-worth,Cracker Barrel Old Country Store,Fort Worth,Texas,3.0,58,1,32.827178955078104,-97.3142623901367,False,False,https://www.yelp.com/biz/cracker-barrel-old-country-store-fort-worth?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
15675,taco-bell-fort-worth-21,Taco Bell,Fort Worth,Texas,3.0,9,1,32.754275,-97.338776,False,False,https://www.yelp.com/biz/taco-bell-fort-worth-21?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
15763,wendys-fort-worth-11,Wendy's,Fort Worth,Texas,1.5,4,3,32.664108276367195,-97.28018188476558,False,False,https://www.yelp.com/biz/wendys-fort-worth-11?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
15835,chipotle-mexican-grill-fort-worth-6,Chipotle Mexican Grill,Fort Worth,Texas,3.5,18,1,32.726421,-97.422166,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-fort-worth-6?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
15868,ihop-fort-worth-8,IHOP,Fort Worth,Texas,3.0,20,1,32.7264878,-97.3619511,False,False,https://www.yelp.com/biz/ihop-fort-worth-8?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
15928,wendys-fort-worth-16,Wendy's,Fort Worth,Texas,2.0,4,3,32.70576,-97.35203,False,False,https://www.yelp.com/biz/wendys-fort-worth-16?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19226,chipotle-mexican-grill-el-paso,Chipotle Mexican Grill,El Paso,Texas,3.5,46,1,31.779075622558604,-106.50422668456999,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-el-paso?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19274,chipotle-mexican-grill-fort-bliss,Chipotle Mexican Grill,El Paso,Texas,4.0,6,1,31.8171246835711,-106.427529930231,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-fort-bliss?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19322,chipotle-mexican-grill-el-paso-3,Chipotle Mexican Grill,El Paso,Texas,3.5,25,1,31.7710298137472,-106.374352217531,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-el-paso-3?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19344,taco-bell-el-paso-10,Taco Bell,El Paso,Texas,4.5,5,1,31.7655222981467,-106.363141589688,False,False,https://www.yelp.com/biz/taco-bell-el-paso-10?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19371,burger-king-el-paso-9,Burger King,El Paso,Texas,5.0,1,3,31.778794899999998,-106.4621867,False,False,https://www.yelp.com/biz/burger-king-el-paso-9?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19434,hooters-el-paso,Hooters,El Paso,Texas,2.5,46,2,31.778684053104897,-106.384847374508,False,False,https://www.yelp.com/biz/hooters-el-paso?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
19441,taco-bell-el-paso-3,Taco Bell,El Paso,Texas,2.5,4,1,31.772547999999997,-106.49938700000001,False,False,https://www.yelp.com/biz/taco-bell-el-paso-3?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19570,ihop-el-paso-3,IHOP,El Paso,Texas,3.0,30,2,31.7807572,-106.41047150000001,False,False,https://www.yelp.com/biz/ihop-el-paso-3?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
19571,chipotle-mexican-grill-el-paso-2,Chipotle Mexican Grill,El Paso,Texas,3.0,22,1,31.728623610738897,-106.303449847114,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-el-paso-2?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19610,burger-king-fort-bliss-2,Burger King,El Paso,Texas,4.0,2,1,31.812523335250102,-106.433582492173,False,False,https://www.yelp.com/biz/burger-king-fort-bliss-2?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19651,taco-bell-el-paso-13,Taco Bell,El Paso,Texas,4.5,4,1,31.837476296020498,-106.561614654895,False,False,https://www.yelp.com/biz/taco-bell-el-paso-13?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19656,burger-king-el-paso-4,Burger King,El Paso,Texas,2.5,2,3,31.8270645141602,-106.44458770751999,False,False,https://www.yelp.com/biz/burger-king-el-paso-4?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
19678,chipotle-mexican-grill-el-paso-4,Chipotle Mexican Grill,El Paso,Texas,4.0,10,1,31.9288882,-106.4294625,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-el-paso-4?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19683,chipotle-mexican-grill-el-paso-5,Chipotle Mexican Grill,El Paso,Texas,3.5,6,1,31.834131808505397,-106.546249412071,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-el-paso-5?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19702,wendys-el-paso,Wendy's,El Paso,Texas,3.0,6,1,31.78758,-106.41077,False,False,https://www.yelp.com/biz/wendys-el-paso?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19705,taco-bell-el-paso-26,Taco Bell,El Paso,Texas,2.5,4,3,31.8260805,-106.44458770751999,False,False,https://www.yelp.com/biz/taco-bell-el-paso-26?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19725,taco-bell-el-paso-7,Taco Bell,El Paso,Texas,3.0,3,1,31.785109999999996,-106.41435,False,False,https://www.yelp.com/biz/taco-bell-el-paso-7?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19743,wendys-el-paso-3,Wendy's,El Paso,Texas,2.5,5,1,31.773000000000003,-106.36798999999999,False,False,https://www.yelp.com/biz/wendys-el-paso-3?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19761,buffalo-wild-wings-fort-bliss,Buffalo Wild Wings,El Paso,Texas,2.5,40,2,31.817562026553997,-106.42762980786999,False,False,https://www.yelp.com/biz/buffalo-wild-wings-fort-bliss?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
19870,taco-bell-el-paso-27,Taco Bell,El Paso,Texas,3.5,3,3,31.938417199087,-106.40730522573,False,False,https://www.yelp.com/biz/taco-bell-el-paso-27?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19872,burger-king-el-paso-17,Burger King,El Paso,Texas,1.0,1,3,31.768813933600697,-106.424434396191,False,False,https://www.yelp.com/biz/burger-king-el-paso-17?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19918,burger-king-el-paso-3,Burger King,El Paso,Texas,2.0,1,3,31.778270000000003,-106.46129499999999,False,False,https://www.yelp.com/biz/burger-king-el-paso-3?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
19959,buffalo-wild-wings-el-paso-2,Buffalo Wild Wings,El Paso,Texas,2.5,37,2,31.820142999999998,-106.54213100000001,False,False,https://www.yelp.com/biz/buffalo-wild-wings-el-paso-2?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
19985,taco-bell-el-paso-18,Taco Bell,El Paso,Texas,1.0,1,3,31.77608,-106.3799,False,False,https://www.yelp.com/biz/taco-bell-el-paso-18?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
33200,chipotle-mexican-grill-fresno-2,Chipotle Mexican Grill,Fresno,California,3.5,111,1,36.8106532,-119.8081808,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-fresno-2?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
33319,chipotle-mexican-grill-fresno-8,Chipotle Mexican Grill,Fresno,California,1.0,2,2,36.782011931723794,-119.79041880132799,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-fresno-8?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
33512,taco-bell-fresno-17,Taco Bell,Fresno,California,4.0,6,1,36.838934,-119.847573,False,False,https://www.yelp.com/biz/taco-bell-fresno-17?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
33531,taco-bell-fresno-14,Taco Bell,Fresno,California,4.0,7,1,36.76532,-119.73338999999999,False,False,https://www.yelp.com/biz/taco-bell-fresno-14?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
33560,chipotle-mexican-grill-fresno-5,Chipotle Mexican Grill,Fresno,California,3.0,36,1,36.8084604,-119.8722716,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-fresno-5?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
33604,taco-bell-fresno-19,Taco Bell,Fresno,California,2.5,9,1,36.76529,-119.78986,False,False,https://www.yelp.com/biz/taco-bell-fresno-19?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
33627,buffalo-wild-wings-fresno,Buffalo Wild Wings,Fresno,California,2.5,292,2,36.80807,-119.73538,False,False,https://www.yelp.com/biz/buffalo-wild-wings-fresno?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
33657,buffalo-wild-wings-fresno-3,Buffalo Wild Wings,Fresno,California,2.5,84,2,36.8081421752698,-119.852000171319,False,False,https://www.yelp.com/biz/buffalo-wild-wings-fresno-3?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
33667,chipotle-mexican-grill-fresno-3,Chipotle Mexican Grill,Fresno,California,2.5,45,1,36.80814,-119.75362,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-fresno-3?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
33735,taco-bell-fresno-2,Taco Bell,Fresno,California,3.0,15,1,36.811167,-119.754172,False,False,https://www.yelp.com/biz/taco-bell-fresno-2?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
33800,taco-bell-fresno-4,Taco Bell,Fresno,California,3.5,9,1,36.7717,-119.8637,False,False,https://www.yelp.com/biz/taco-bell-fresno-4?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
